Temporada,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2012-2013,Round of 16,Tue,2013-03-12,,Schalke 04de,2–3,trGalatasaray,,Arena AufSchalke,Jonas Eriksson,Match Report,Leg 2 of 2; Galatasaray won
2012-2013,Round of 16,Tue,2013-03-12,,Barcelonaes,4–0,itMilan,,Camp Nou,Viktor Kassai,Match Report,Leg 2 of 2; Barcelona won
2012-2013,Round of 16,Wed,2013-03-13,,Málagaes,2–0,ptPorto,,La Rosaleda,Nicola Rizzoli,Match Report,Leg 2 of 2; Málaga won
2012-2013,Round of 16,Wed,2013-03-13,,Bayern Munichde,0–2,engArsenal,,Fußball Arena München,Pavel Královec,Match Report,Leg 2 of 2; Bayern Munich won
2012-2013,,,,,,,,,,,,
2012-2013,Quarter-finals,Tue,2013-04-02,,Bayern Munichde,2–0,itJuventus,,Fußball Arena München,Mark Clattenburg,Match Report,Leg 1 of 2
2012-2013,Quarter-finals,Tue,2013-04-02,,Paris S-Gfr,2–2,esBarcelona,,Parc des Princes,Wolfgang Stark,Match Report,Leg 1 of 2
2012-2013,Quarter-finals,Wed,2013-04-03,,Real Madrides,3–0,trGalatasaray,,Estadio Santiago Bernabéu,Svein Oddvar Moen,Match Report,Leg 1 of 2
2012-2013,Quarter-finals,Wed,2013-04-03,,Málagaes,0–0,deDortmund,,La Rosaleda,Jonas Eriksson,Match Report,Leg 1 of 2
2012-2013,Quarter-finals,Tue,2013-04-09,,Galatasaraytr,3–2,esReal Madrid,,Ali Sami Yen Spor Kompleksi,Stéphane Lannoy,Match Report,Leg 2 of 2; Real Madrid won
2012-2013,Quarter-finals,Tue,2013-04-09,,Dortmundde,3–2,esMálaga,,BVB Stadion Dortmund,Craig Thomson,Match Report,Leg 2 of 2; Dortmund won
2012-2013,Quarter-finals,Wed,2013-04-10,,Juventusit,0–2,deBayern Munich,,Juventus Stadium,Velasco Carballo,Match Report,Leg 2 of 2; Bayern Munich won
2012-2013,Quarter-finals,Wed,2013-04-10,,Barcelonaes,1–1,frParis S-G,,Camp Nou,Björn Kuipers,Match Report,Leg 2 of 2; Barcelona won
2012-2013,,,,,,,,,,,,
