Season,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Goalkeeper,Scorer,Goals
2018-2019,GR,itNapoli,6,2,3,1,7,5,+2,9,David Ospina,Lorenzo Insigne,3
2018-2019,GR,esValencia,6,2,2,2,6,6,0,8,Neto,Santi Mina,2
2018-2019,GR,itInter,6,2,2,2,6,7,-1,8,Samir Handanović,Mauro Icardi,4
2018-2019,GR,ruCSKA Moscow,6,2,1,3,8,9,-1,7,Igor Akinfeev,Nikola Vla,3
2018-2019,GR,ptBenfica,6,2,1,3,6,11,-5,7,Odisseas Vlachodimos,lex Grimaldo,2
2018-2019,GR,czViktoria Plzeň,6,2,1,3,7,16,-9,7,Aleš Hruška,Michal Krmen,2
2018-2019,GR,beClub Brugge,6,1,3,2,6,5,+1,6,"Ethan Horvath,Karlo Letica",Hans Vanaken,2
2018-2019,GR,uaShakhtar,6,1,3,2,8,16,-8,6,Andriy Pyatov,J,3
2018-2019,GR,trGalatasaray,6,1,1,4,5,8,-3,4,Fernando Muslera,Eren Derdiyok,2
2018-2019,GR,chYoung Boys,6,1,1,4,4,12,-8,4,David von Ballmoos,Guillaume Hoarau,3
2018-2019,GR,rsRed Star,6,1,1,4,5,17,-12,4,Milan Borjan,Milan Pavkov,2
2018-2019,GR,deHoffenheim,6,0,3,3,11,14,-3,3,Oliver Baumann,Andrej Kramari,5
2018-2019,GR,ruLoko Moscow,6,1,0,5,4,12,-8,3,Guilherme Marinato,Vladislav Ignatyev,1
2018-2019,GR,nlPSV Eindhoven,6,0,2,4,6,13,-7,2,Jeroen Zoet,Luuk de Jong,3
2018-2019,GR,frMonaco,6,0,1,5,2,14,-12,1,Diego Benaglio,Samuel Grandsir,1
2018-2019,GR,grAEK Athens,6,0,0,6,2,13,-11,0,Vasilios Barkas,Viktor Klonaridis,2
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Notes,Goalkeeper,Goalkeeper
2017-2018,W,esReal Madrid,13,9,2,2,33,16,+17,29,Keylor Navas,Cristiano Ronaldo,15
2017-2018,F,engLiverpool,13,7,4,2,41,16,+25,25,Loris Karius,Roberto Firmino,10
2017-2018,SF,deBayern Munich,12,8,2,2,26,12,+14,26,Sven Ulreich,Robert Lewandowski,5
2017-2018,SF,itRoma,12,6,2,4,21,19,+2,20,Alisson,Edin D,8
2017-2018,QF,esBarcelona,10,6,3,1,17,6,+11,21,Marc-André ter Stegen,Lionel Messi,6
2017-2018,QF,engManchester City,10,6,0,4,20,12,+8,18,Ederson,Gabriel Jesus,4
2017-2018,QF,itJuventus,10,5,3,2,14,12,+2,18,Gianluigi Buffon,Gonzalo Higua,5
2017-2018,QF,esSevilla,10,3,5,2,15,15,0,14,Sergio Rico,Wissam Ben Yedder,8
2017-2018,R16,engTottenham,8,5,2,1,18,8,+10,17,Hugo Lloris,Harry Kane,7
2017-2018,R16,engManchester Utd,8,5,1,2,13,5,+8,16,David de Gea,Romelu Lukaku,5
2017-2018,R16,frParis S-G,8,5,0,3,27,9,+18,15,Alphonse Areola,Edinson Cavani,7
2017-2018,R16,chBasel,8,5,0,3,13,10,+3,15,Tomáš Vaclík,Dimitri Oberlin,4
2017-2018,R16,uaShakhtar,8,5,0,3,11,11,0,15,Andriy Pyatov,Facundo Ferreyra,3
2017-2018,R16,trBeşiktaş,8,4,2,2,12,13,-1,14,Fabricio,Talisca,4
2017-2018,R16,engChelsea,8,3,3,2,17,12,+5,12,Thibaut Courtois,Eden Hazard,3
2017-2018,R16,ptPorto,8,3,2,3,15,15,0,11,José Sá,Vincent Aboubakar,5
2017-2018,GR,ruCSKA Moscow,6,3,0,3,8,10,-2,9,Igor Akinfeev,Vitinho,2
2017-2018,GR,esAtlético Madrid,6,1,4,1,5,4,+1,7,Jan Oblak,Antoine Griezmann,2
2017-2018,GR,deRB Leipzig,6,2,1,3,10,11,-1,7,Péter Gulácsi,Timo Werner,3
2017-2018,GR,ptSporting CP,6,2,1,3,8,9,-1,7,Rui Patrício,Bas Dost,2
2017-2018,GR,itNapoli,6,2,0,4,11,11,0,6,Pepe Reina,Lorenzo Insigne,3
2017-2018,GR,ruSpartak Moscow,6,1,3,2,9,13,-4,6,Aleksandr Selikhov,Quincy Promes,2
2017-2018,GR,nlFeyenoord,6,1,0,5,5,14,-9,3,Brad Jones,Nicolai J,2
2017-2018,GR,sctCeltic,6,1,0,5,5,18,-13,3,Craig Gordon,Scott Sinclair,1
2017-2018,GR,siNK Maribor,6,0,3,3,3,16,-13,3,Jasmin Handanović,Damjan Bohar,1
2017-2018,GR,beAnderlecht,6,1,0,5,2,17,-15,3,"Frank Boeckx,Matz Sels",Sofiane Hanni,1
2017-2018,GR,deDortmund,6,0,2,4,7,13,-6,2,Roman Bürki,Pierre,4
2017-2018,GR,frMonaco,6,0,2,4,6,16,-10,2,"Danijel Subašić,Diego Benaglio",Radamel Falcao,3
2017-2018,GR,azQarabağ,6,0,2,4,2,14,-12,2,Ibrahim Šehić,M,1
2017-2018,GR,cyAPOEL FC,6,0,2,4,2,17,-15,2,Nauzet Pérez,Micka,2
2017-2018,GR,grOlympiacos,6,0,1,5,4,13,-9,1,Silvio Proto,Felipe Pardo,2
2017-2018,GR,ptBenfica,6,0,0,6,1,14,-13,0,Mile Svilar,Haris Seferovi,1
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Notes,Goalkeeper,Goalkeeper
2016-2017,W,esReal Madrid,13,9,3,1,35,18,+17,30,Keylor Navas,Cristiano Ronaldo,12
2016-2017,F,itJuventus,13,9,3,1,22,6,+16,30,Gianluigi Buffon,Gonzalo Higua,5
2016-2017,SF,esAtlético Madrid,12,9,1,2,18,10,+8,28,Jan Oblak,Antoine Griezmann,6
2016-2017,SF,frMonaco,12,5,3,4,19,19,0,18,Danijel Subašić,Kylian Mbapp,6
2016-2017,QF,esBarcelona,10,6,1,3,26,12,+14,19,Marc-André ter Stegen,Lionel Messi,11
2016-2017,QF,deBayern Munich,10,6,0,4,27,14,+13,18,Manuel Neuer,Robert Lewandowski,8
2016-2017,QF,deDortmund,10,5,2,3,28,16,+12,17,Roman Bürki,Pierre,7
2016-2017,QF,engLeicester City,10,5,2,3,11,10,+1,17,Kasper Schmeichel,Riyad Mahrez,4
2016-2017,R16,frParis S-G,8,4,3,1,18,13,+5,15,Alphonse Areola,Edinson Cavani,8
2016-2017,R16,engArsenal,8,4,2,2,20,16,+4,14,David Ospina,Mesut,4
2016-2017,R16,esSevilla,8,4,2,2,9,6,+3,14,Sergio Rico,Wissam Ben Yedder,2
2016-2017,R16,engManchester City,8,3,4,1,17,13,+4,13,Willy Caballero,Sergio Ag,5
2016-2017,R16,ptPorto,8,3,2,3,9,6,+3,11,Iker Casillas,Andr,4
2016-2017,R16,itNapoli,8,3,2,3,13,14,-1,11,Pepe Reina,Dries Mertens,5
2016-2017,R16,ptBenfica,8,3,2,3,11,14,-3,11,Ederson,Eduardo Salvio,3
2016-2017,R16,deLeverkusen,8,2,4,2,11,11,0,10,Bernd Leno,Kevin Kampl,1
2016-2017,GR,dkFC Copenhagen,6,2,3,1,7,2,+5,9,Robin Olsen,Mathias J,2
2016-2017,GR,frLyon,6,2,2,2,5,3,+2,8,Anthony Lopes,Corentin Tolisso,2
2016-2017,GR,engTottenham,6,2,1,3,6,6,0,7,Hugo Lloris,Harry Kane,2
2016-2017,GR,trBeşiktaş,6,1,4,1,9,14,-5,7,Tolga Zengin,Vincent Aboubakar,3
2016-2017,GR,uaDynamo Kyiv,6,1,2,3,8,6,+2,5,Artur Rudko,Derlis Gonz,1
2016-2017,GR,ruRostov,6,1,2,3,6,12,-6,5,Soslan Dzhanayev,Dmitry Poloz,3
2016-2017,GR,deM'Gladbach,6,1,2,3,5,12,-7,5,Yann Sommer,Lars Stindl,2
2016-2017,GR,plLegia Warsaw,6,1,1,4,9,24,-15,4,Arkadiusz Malarz,Aleksandar Prijovi,2
2016-2017,GR,ptSporting CP,6,1,0,5,5,8,-3,3,Rui Patrício,Bruno C,2
2016-2017,GR,ruCSKA Moscow,6,0,3,3,5,11,-6,3,Igor Akinfeev,Alan Dzagoev,2
2016-2017,GR,bgLudogorets,6,0,3,3,6,15,-9,3,Vladislav Stoyanov,Jonathan Cafu,2
2016-2017,GR,sctCeltic,6,0,3,3,5,16,-11,3,Craig Gordon,Moussa Demb,3
2016-2017,GR,nlPSV Eindhoven,6,0,2,4,4,11,-7,2,Jeroen Zoet,Davy Pr,1
2016-2017,GR,chBasel,6,0,2,4,3,12,-9,2,Tomáš Vaclík,Seydou Doumbia,1
2016-2017,GR,beClub Brugge,6,0,0,6,2,14,-12,0,Ludovic Butelle,Jelle Vossen,1
2016-2017,GR,hrDinamo Zagreb,6,0,0,6,0,15,-15,0,Dominik Livaković,Desconocido,0
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Notes,Goalkeeper,Goalkeeper
2015-2016,W,esReal Madrid,13,9,3,1,28,6,+22,30,Keylor Navas,Cristiano Ronaldo,16
2015-2016,F,esAtlético Madrid,13,6,4,3,17,8,+9,22,Jan Oblak,Antoine Griezmann,7
2015-2016,SF,deBayern Munich,12,8,2,2,30,11,+19,26,Manuel Neuer,Robert Lewandowski,9
2015-2016,SF,engManchester City,12,6,3,3,18,12,+6,21,Joe Hart,Kevin De Bruyne,3
2015-2016,QF,esBarcelona,10,7,2,1,22,8,+14,23,Marc-André ter Stegen,Luis Su,8
2015-2016,QF,deWolfsburg,10,7,0,3,15,11,+4,21,Diego Benaglio,Julian Draxler,3
2015-2016,QF,frParis S-G,10,6,2,2,18,6,+12,20,Kevin Trapp,Zlatan Ibrahimovi,5
2015-2016,QF,ptBenfica,10,5,2,3,15,12,+3,17,Júlio César,Nicol,4
2015-2016,R16,ruZenit,8,5,0,3,14,9,+5,15,Yuri Lodygin,Artem Dzyuba,6
2015-2016,R16,engChelsea,8,4,1,3,15,7,+8,13,Asmir Begović,Willian,5
2015-2016,R16,uaDynamo Kyiv,8,3,3,2,9,7,+2,12,Oleksandr Shovkovskiy,Andriy Yarmolenko,2
2015-2016,R16,itJuventus,8,3,3,2,10,9,+1,12,Gianluigi Buffon,lvaro Morata,2
2015-2016,R16,nlPSV Eindhoven,8,3,3,2,8,7,+1,12,Jeroen Zoet,Luuk de Jong,2
2015-2016,R16,beGent,8,3,1,4,10,11,-1,10,Matz Sels,Danijel Mili,3
2015-2016,R16,engArsenal,8,3,0,5,13,15,-2,9,Petr Čech,Olivier Giroud,5
2015-2016,R16,itRoma,8,1,3,4,11,20,-9,6,Wojciech Szczęsny,Miralem Pjani,2
2015-2016,GR,byBATE Borisov,12,4,4,4,11,16,-5,16,Sergei Chernik,Filip Mladenovi,2
2015-2016,GR,kzFC Astana,12,3,6,3,14,17,-3,15,Nenad Erić,Patrick Twumasi,2
2015-2016,GR,hrDinamo Zagreb,12,4,3,5,17,21,-4,15,Eduardo Carvalho,Junior Fern,1
2015-2016,GR,engManchester Utd,8,4,2,2,14,8,+6,14,David de Gea,Anthony Martial,2
2015-2016,GR,seMalmö,12,4,1,7,9,26,-17,13,Johan Wiland,Markus Rosenberg,1
2015-2016,GR,ruCSKA Moscow,10,3,2,5,14,16,-2,11,Igor Akinfeev,Seydou Doumbia,3
2015-2016,GR,uaShakhtar,10,3,2,5,13,16,-3,11,Andriy Pyatov,Alex Teixeira,3
2015-2016,GR,ptPorto,6,3,1,2,9,8,+1,10,Iker Casillas,Vincent Aboubakar,3
