Season,Round,Day,Date,Time,Home_Team,Score,Away_Team,Attendance,Venue,Referee,Match_Report,Notes
2018-2019,Quarter-finals,Wed,2019-04-10,21:00,Ajaxnl,1–1,itJuventus,"50,390",Johan Cruyff ArenA,Carlos del Cerro,Match Report,Leg 1 of 2
2018-2019,Quarter-finals,Tue,2019-04-16,21:00,Juventusit,1–2,nlAjax,"41,445",Allianz Stadium,Clément Turpin,Match Report,Leg 2 of 2; Ajax won
2018-2019,Quarter-finals,Tue,2019-04-16,21:00,Barcelonaes,3–0,engManchester Utd,"96,708",Camp Nou,Felix Brych,Match Report,Leg 2 of 2; Barcelona won
2018-2019,Quarter-finals,Wed,2019-04-17,20:00,Manchester Cityeng,4–3,engTottenham,"53,348",Etihad Stadium,Cüneyt Çakιr,Match Report,Leg 2 of 2; Tottenham won
2018-2019,Quarter-finals,Wed,2019-04-17,20:00,Portopt,1–4,engLiverpool,"49,117",Estádio Do Dragão,Danny Makkelie,Match Report,Leg 2 of 2; Liverpool won
2018-2019,Semi-finals,Tue,2019-04-30,20:00,Tottenhameng,0–1,nlAjax,"60,243",Tottenham Hotspur Stadium,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2018-2019,Semi-finals,Wed,2019-05-01,21:00,Barcelonaes,3–0,engLiverpool,"98,299",Camp Nou,Björn Kuipers,Match Report,Leg 1 of 2
2018-2019,Semi-finals,Tue,2019-05-07,20:00,Liverpooleng,4–0,esBarcelona,"55,212",Anfield,Cüneyt Çakιr,Match Report,Leg 2 of 2; Liverpool won
2018-2019,Semi-finals,Wed,2019-05-08,21:00,Ajaxnl,2–3,engTottenham,"52,641",Johan Cruyff ArenA,Felix Brych,Match Report,Leg 2 of 2; Tottenham won
2019-2020,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2019-2020,Round of 16,Tue,2020-02-18,21:00,Atlético Madrides,1–0,engLiverpool,"67,443",Estadio Wanda Metropolitano,Szymon Marciniak,Match Report,Leg 1 of 2
2019-2020,Round of 16,Tue,2020-02-18,21:00,Dortmundde,2–1,frParis S-G,"66,099",Signal Iduna Park,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2019-2020,Round of 16,Wed,2020-02-19,20:00,Tottenhameng,0–1,deRB Leipzig,"60,095",Tottenham Hotspur Stadium,Cüneyt Çakιr,Match Report,Leg 1 of 2
