Ranking,Player_Name,Team,Goals,Assists
227.0,Benito L.,Young Boys,0,1
227.0,Bisseck Y.,Inter,0,1
227.0,Blaswich J.,RB Leipzig,0,1
227.0,Calabria D.,AC Milan,0,1
227.0,Camara M.,Young Boys,0,1
227.0,Dest S.,PSV,0,1
227.0,Dias R.,Manchester City,0,1
227.0,Dumfries D.,Inter,0,1
227.0,Eriksen C.,Manchester Utd,0,1
227.0,Falk R.,Copenhague,0,1
227.0,Felipe Anderson,Lazio,0,1
227.0,Franco A.,Oporto,0,1
227.0,García F.,Real Madrid,0,1
227.0,Giménez J. M.,Atlético de Madrid,0,1
227.0,Gocholeishvili G.,Shakhtar,0,1
227.0,Goretzka L.,Bayern Múnich,0,1
227.0,Guendouzi M.,Lazio,0,1
227.0,Guimaraes B.,Newcastle,0,1
227.0,Hernández T.,AC Milan,0,1
227.0,Hummels M.,Borussia Dortmund,0,1
227.0,Isaksen G.,Lazio,0,1
227.0,Ivanic M.,Estrella Roja,0,1
227.0,Ivanusec L.,Feyenoord,0,1
227.0,Joao Mario,Oporto,0,1
227.0,Kanga G.,Estrella Roja,0,1
227.0,Kjaergaard M.,Salzburgo,0,1
227.0,Koke,Atlético de Madrid,0,1
227.0,Konoplya Y.,Shakhtar,0,1
227.0,Krasso J.,Estrella Roja,0,1
227.0,Kvaratskhelia K.,Nápoles,0,1
227.0,Laidouni A.,Union Berlin,0,1
227.0,Lucas,Real Madrid,0,1
227.0,Luis Alberto,Lazio,0,1
227.0,Maeda D.,Celtic,0,1
227.0,Martial A.,Manchester Utd,0,1
227.0,Meling B.,Copenhague,0,1
227.0,Miley L.,Newcastle,0,1
227.0,Mkhitaryan H.,Inter,0,1
227.0,Monteiro J.,Young Boys,0,1
227.0,Murphy J.,Newcastle,0,1
227.0,Muñoz A.,Real Sociedad,0,1
227.0,Natan,Nápoles,0,1
227.0,Nazaryna Y.,Shakhtar,0,1
227.0,Niasse C.,Young Boys,0,1
227.0,Nsame J.,Young Boys,0,1
227.0,Nunes M.,Manchester City,0,1
227.0,Okafor N.,AC Milan,0,1
227.0,Oliveira S.,Galatasaray,0,1
227.0,Oskarsson O.,Copenhague,0,1
227.0,Otamendi N.,Benfica,0,1
227.0,Otavio,Oporto,0,1
227.0,Poulsen Y.,RB Leipzig,0,1
227.0,Roberto S.,Barcelona,0,1
227.0,Romagnoli A.,Lazio,0,1
227.0,Roussillon J.,Union Berlin,0,1
227.0,Rui M.,Nápoles,0,1
227.0,Rüdiger A.,Real Madrid,0,1
227.0,Schlotterbeck N.,Borussia Dortmund,0,1
227.0,Shaw L.,Manchester Utd,0,1
227.0,Sotoca F.,Lens,0,1
227.0,Stepanenko T.,Shakhtar,0,1
227.0,Stones J.,Manchester City,0,1
227.0,Sánchez J.,Sevilla,0,1
227.0,Tillman M.,PSV,0,1
227.0,Timber Q.,Feyenoord,0,1
227.0,Tousart L.,Union Berlin,0,1
227.0,Trippier K.,Newcastle,0,1
227.0,Ueda A.,Feyenoord,0,1
227.0,Wan-Bissaka A.,Manchester Utd,0,1
227.0,White B.,Arsenal,0,1
227.0,Yilmaz B. A.,Galatasaray,0,1
227.0,Zalazar R.,SC Braga,0,1
227.0,de Ligt M.,Bayern Múnich,0,1
